CRASH_ID,count
14916739,4
14947312,3
14985852,3
14865478,3
14878766,3
14945146,3
14849446,3
14857942,3
14875185,3
14963410,4
14973659,3
14977077,3
14987456,3
14850207,3
14915668,3
14976736,3
14985715,3
14898795,3
14964895,3
14896578,3
14968076,3
14866040,3
14960717,3
14861099,3
14867374,3
14922667,3
14951842,4
14924444,3
14936769,4
14942254,3
14987446,3
14928026,3
14976153,3
14907395,4
14911703,3
14924106,3
14939294,3
14954515,3
14963691,3
14984815,3
14914289,4
14922725,3
14955420,3
14882576,3
14945199,3
14888575,3
15117165,4
14908029,3
14939194,3
14941822,3
14957699,3
14845948,3
14860829,3
14898924,3
14904790,3
14908552,3
14917938,3
14925882,3
14940945,3
14854219,3
14854472,3
14857509,3
14953678,3
14850972,3
14872560,3
14894634,3
14956611,3
14872042,3
14945137,3
14980357,3
14987629,3
14920664,3
14951712,3
14902418,3
14932711,3
14866417,3
14894663,3
14873408,3
14885292,3
14904158,3
14923422,3
14892122,3
14892773,3
14920090,3
14867567,3
14907626,3
15279247,3
14862905,3
14866711,3
14898356,3
14962483,3
14969364,4
14975245,3
14878227,3
14906387,4
14909575,3
14973315,3
14984078,3
14872874,3
14922432,3
14983070,3
14983088,3
14949643,3
14960929,3
14970556,4
14905035,3
14920577,4
14964783,4
14861038,3
14875847,3
14906357,3
14935127,3
14942829,3
15541501,3
14974969,4
14840656,3
14848894,3
14878833,3
14921733,3
14973899,3
14909885,3
14976786,3
14881455,3
14882420,4
14876627,3
14856200,3
14924448,3
14946076,4
14948245,4
14957752,3
14844464,4
14906571,3
14943637,4
14985244,3
14860250,3
14930704,3
14958420,3
14962426,3
14884294,3
14970241,4
14972358,3
14933253,3
14946374,3
14865199,3
14881960,3
14911682,3
14932422,3
14953479,3
14903384,3
14905464,4
14938204,3
14945304,3
14979675,3
14849605,4
14928560,3
14985343,3
14890709,3
14906237,3
14856881,3
14917585,3
14963492,3
14896495,3
14949811,3
14967150,3
14973780,4
14861580,3
14876487,3
14932750,3
14976514,3
14904113,6
14951915,3
14946509,3
14965565,3
14877023,4
14943463,3
14950121,3
14883431,3
14903025,3
14905656,3
14919435,3
14919460,3
14933171,3
14948731,3
14916465,3
14936016,4
14914893,3
14935975,3
14879211,3
14971912,3
14874900,3
14890977,3
14930609,3
14935388,3
14937679,3
14950792,3
14983375,3
14876601,3
14944095,4
14947283,4
14962286,4
14887446,3
14927546,3
14976280,3
14918646,3
14940943,3
14844422,3
14970294,3
14873615,4
14907450,3
14923526,3
14941541,3
14970209,3
14928030,3
14939406,3
14959150,3
14859940,3
14945980,4
14962114,4
14967828,3
14980570,3
14983691,3
14873282,3
14880403,3
14914136,3
14889995,3
14916441,3
14962346,3
14945783,3
14857730,3
14858044,3
14909521,3
14928498,3
14933445,3
14949481,3
14948782,3
14903663,4
14928593,3
14959761,3
14903285,3
14929065,3
14929851,3
14963770,3
14983301,3
14906402,3
14918181,3
14948834,3
14884835,3
14901779,3
14907480,3
14950941,3
14845683,3
14852428,3
14937068,3
14940988,4
14963989,3
14967241,3
14984699,3
14905797,3
14914046,6
14891423,3
14926220,3
14931448,3
14943279,3
14899423,3
14896891,3
14900501,3
14957234,3
14840072,3
14868842,3
14895870,3
14910960,3
14917869,4
14951015,4
14847011,3
14878529,6
14881598,3
14889442,3
14894821,4
14931454,3
14949900,3
14895686,3
14966800,3
14957018,3
14968846,4
14973874,3
14876809,3
14884703,3
14905247,3
14926353,3
14933953,3
14912792,3
14935990,3
14961732,3
14962051,3
14966101,3
14882775,3
14913386,3
14950546,3
14986320,3
14844480,3
14857978,3
14892391,3
14953277,3
14920046,3
14928162,3
14957135,3
14958998,3
14978803,3
14858843,3
14882548,3
14930675,3
14932135,3
14935383,3
14937879,3
14948058,4
14954785,3
14977870,3
14868063,3
14898551,3
14941776,4
14974315,3
14848446,3
14875413,3
14892844,4
14906396,3
14948148,3
14852321,4
14881934,4
14887123,3
14904998,3
14974965,3
14872851,3
14883240,3
14885053,3
14890538,3
14924406,3
14928434,3
14969879,3
14972383,3
14852018,4
14864042,3
14877498,3
14892639,3
14899024,3
14908950,3
14917670,3
14848427,3
14876734,3
14922614,3
14862730,3
14868434,4
14891188,3
14939011,3
14964865,3
14865873,3
14902850,3
14911561,3
14861921,3
14927708,3
14932934,3
14976251,4
14864387,3
14887075,4
14932231,3
14937065,3
14947019,3
14852108,3
14947783,3
14951071,3
14872910,3
14930313,4
14958399,3
14976637,3
14858538,4
14892461,3
14904722,3
14909236,3
14923415,4
15632357,3
14866011,3
14933484,3
14937907,3
14957738,3
14959384,3
14862929,3
14963654,3
14886446,3
14913970,3
14928421,3
14928904,3
14963071,3
14880395,3
14880412,3
14900586,3
14921644,3
14936960,3
14941728,3
14953275,3
14958986,3
14979223,3
14985757,3
14859305,3
14861213,3
14940647,3
14959810,3
14987495,3
14969863,3
14963783,3
14971096,3
14847054,3
14851641,4
14882618,3
14906026,3
14942310,3
14967899,3
14978644,3
14857956,3
14864538,3
14911023,3
14939620,3
14946631,3
14943490,4
14979665,3
14913058,3
14963157,3
14872909,3
14876145,3
14883082,3
14897727,3
14899599,3
14902222,3
14970753,3
14842185,3
14912209,3
14935047,3
14942758,3
14895763,3
14905021,3
14924536,3
14977230,3
14979009,3
14843133,3
14847328,3
14898439,3
14897702,3
14932263,3
14964331,7
14997915,3
15012183,3
15045666,3
15053648,3
15082390,3
15091258,3
15136999,3
15105832,3
15123698,3
14990930,3
15013866,3
15088568,3
15008895,3
15052497,3
15105687,3
15140363,4
15009353,3
15036744,3
15076972,3
15125225,3
15014572,3
15035063,4
15120852,3
15092147,3
14990153,3
15078487,3
15104679,3
15112243,3
15054310,3
15088575,3
15112856,3
15052202,3
15052486,3
15107732,3
15122133,4
15141198,3
15032648,3
15041192,3
15044532,3
15093941,3
15110037,4
15118608,3
15012919,3
15038162,3
15100500,3
15117382,3
15001363,3
15038047,3
15040509,3
15049908,4
15002768,3
15020370,3
15040420,3
15105614,3
15135190,3
15143074,3
15030162,3
15067775,3
15002795,3
15054428,3
15071294,3
15104801,3
15121073,3
15008240,3
15022254,3
15069160,3
15112307,3
15129490,3
15145629,3
14995748,3
15037488,3
14996526,3
14996800,3
15008976,3
15084639,4
15129775,3
15005315,3
15039043,3
15042041,3
15125055,3
15089569,3
15127822,3
15136672,3
15139568,3
15016597,4
15089671,3
15019689,4
15078271,3
15104047,3
15127446,3
14993925,3
15040668,3
15096356,3
15131922,3
15068499,3
15140295,4
15045951,3
15138366,3
15092504,3
15085940,3
15001514,3
15010617,3
15018825,3
15051574,4
15088466,3
15102716,3
15129416,3
15140890,3
15084467,3
15096469,3
15134127,3
15068503,3
15096137,3
14988746,3
15108466,3
15001058,3
15050190,4
15070391,4
15143612,3
14991103,3
15010257,3
15077071,3
15083510,3
15109125,4
15043481,3
14996658,3
15021946,3
15022873,5
15111782,3
15092280,3
15133571,3
14999531,3
15033092,3
15039959,3
15090694,3
15098326,3
15034349,3
15043852,3
15051202,3
15070026,3
